Идентификатор,Наименование,Тип компонента,Группа компонента,Объекты воздействия
К.1.1.1,Прошивка (встроенная микропрограмма),К.1 Программное обеспечение,К.1.1 Микропрограммное обеспечение,"О.1 Автоматизированное рабочее место;
О.10 Мобильное устройство;
О.2 Сервер;
О.9 Средства защиты информации;
О.3 Периферийное оборудование;
О.4 Устройство хранения данных;
О.5 Устройство интернета-вещей;
О.6 Активное сетевое оборудование;
О.7 Обеспечивающие системы;
О.8 Телефония (VoIP, GSM)"
К.1.1.2,UEFI/BIOS,К.1 Программное обеспечение,К.1.1 Микропрограммное обеспечение,"О.1 Автоматизированное рабочее место;
О.2 Сервер"
К.1.2.1,Операционная система,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),"О.1 Автоматизированное рабочее место;
О.2 Сервер"
К.1.2.2,Мобильная операционная система,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),О.10 Мобильное устройство
К.1.2.3,Программная оболочка,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),"О.1 Автоматизированное рабочее место;
О.2 Сервер"
К.1.2.4,Драйвер,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),"О.1 Автоматизированное рабочее место;
О.10 Мобильное устройство;
О.2 Сервер"
К.1.2.5,Утилита,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),Данные уточняются
К.1.2.6,Загрузчик операционной системы,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),"О.1 Автоматизированное рабочее место;
О.10 Мобильное устройство;
О.2 Сервер"
К.1.2.7,Гипервизор,К.1 Программное обеспечение,К.1.2 Системное программное обеспечение (ПО),Данные уточняются
К.1.3.1,Системные и сетевые службы,К.1 Программное обеспечение,К.1.3 Сервисное ПО,"О.1 Автоматизированное рабочее место;
О.10 Мобильное устройство;
О.2 Сервер"
К.1.3.2,Терминальный сервер,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.3,Веб-сервер,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.4,Система управления содержимым сайта (CMS),К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.5,Файловый сервер,К.1 Программное обеспечение,К.1.3 Сервисное ПО,"О.11 Информация (данные), содержащаяся в системах и сетях"
К.1.3.6,Сервер электронной почты,К.1 Программное обеспечение,К.1.3 Сервисное ПО,"О.11 Информация (данные), содержащаяся в системах и сетях"
К.1.3.7,Сервер видеоконференцсвязи,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.8,Сервер IP-телефонии,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.9,DNS-сервер,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.10,Сервер каталогов,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.3.11,Система распределенного реестра,К.1 Программное обеспечение,К.1.3 Сервисное ПО,Данные уточняются
К.1.4.1,ПО для разработки кода,К.1 Программное обеспечение,К.1.4 Инструментальное ПО,Данные уточняются
К.1.4.2,Средства тестирования и отладки,К.1 Программное обеспечение,К.1.4 Инструментальное ПО,Данные уточняются
К.1.5.1,Клиент электронной почты,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.2,Мессенджер,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.3,Среда управления контейнеризацией,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.4,Виртуальная машина,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.5,Система управления базами данных (СУБД),К.1 Программное обеспечение,К.1.5 Прикладное ПО,"О.11 Информация (данные), содержащаяся в системах и сетях"
К.1.5.6,Мобильное приложение,К.1 Программное обеспечение,К.1.5 Прикладное ПО,О.10 Мобильное устройство
К.1.5.7,Скрипт автоматизации,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.8,Система мониторинга,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.9,Клиент системы видеоконференцсвязи,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.10,Клиент IP-телефонии,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
К.1.5.11,"Пакет офисного ПО (для работы с текстами, таблицами, презентациями и т.п.)",К.1 Программное обеспечение,К.1.5 Прикладное ПО,О.1 Автоматизированное рабочее место
К.1.5.12,ПО для проектирования и моделирования,К.1 Программное обеспечение,К.1.5 Прикладное ПО,Данные уточняются
