Идентификатор,Наименование,Подгруппа,Группа мер,Парируемые способы реализации угроз,Парируемые угрозы
АВЗ.0.1,Разработка правил и процедур (политик) антивирусной защиты,АВЗ.0 Регламентация правил и процедур антивирусной защиты,АВЗ Антивирусная защита,Данные уточняются,Данные уточняются
АВЗ.1.1,"Применение средств антивирусной защиты на автоматизированных рабочих местах, серверах, периметральных средствах защиты информации (средствах межсетевого экранирования, прокси-серверах, почтовых шлюзах и других средствах защиты информации), мобильных технических средствах и иных точках доступа в информационной системе, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы) ",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,"СП.14.5 Остановка сервиса;
СП.14.6 Перезагрузка или выключение сервера;
СП.14.7 Блокировка пользователей;
СП.14.8 Множественный запуск программного обеспечения;
СП.12.6 Снятие информации выводимой на печать;
СП.21.3 Искажение данных;
СП.21.1 Повреждение загрузочной области;
СП.21.2 Затирание данных (wiping);
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.5 Считывание нажатий виртуальной клавиатуры;
СП.12.7 Снятие звука с микрофона;
СП.16.1 Выход за пределы виртуальной инфраструктуры;
СП.16.2 Нарушение изоляции процессов;
СП.16.3 Нарушение сетевой изоляции;
СП.16.4 Выход за пределы контейнера;
СП.16.5 Выход за пределы замкнутой программной среды;
СП.19.5 Модификация операционной системы при помощи руткитов (пользовательского и уровня ядра);
СП.19.4 Изменение (подмена, удаление) системных файлов операционной системы;
СП.19.2 Модификация операционной системы из гипервизора;
СП.19.3 Модификация операционной системы в момент загрузки операционной системы, используя руткиты;
СП.4.5 Внедрение вредоносного программного обеспечения через средства удаленного управления/доступа;
СП.15.1 Шифрование данных с применением вирусов-шифровальщиков;
СП.4.6 Внедрение вредоносного программного обеспечения через средства установки/обновления программного обеспечения;
СП.4.10 Внедрение вредоносного программного обеспечения через скомпрометированные обновления программного обеспечения или операционной системы;
СП.4.11 Внедрение вредоносного ПО через компрометацию инфраструктуры подрядчика, среды сборки разработчика (подрядчика) и (или) службы технической поддержки;
СП.4.12 Внедрение вредоносного ПО через установку приложений из магазина приложений;
СП.26.5 Внедрение вредоносного ПО через компрометацию инфраструктуры системы хранения данных;
СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации;
СП.4.4 Внедрение вредоносного программного обеспечения через сетевое взаимодействие;
СП.4.13 Внедрение вредоносного программного обеспечения с помощью файлового архива;
СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту;
СП.4.3 Внедрение вредоносного программного обеспечения через посещение сайтов;
СП.4.7 Внедрение вредоносного программного обеспечения через формы приема файлов ;
СП.4.8 Внедрение вредоносного программного обеспечения через файлообменные ресурсы (FTP, SMB и т.п.);
СП.4.9 Внедрение вредоносного программного обеспечения через мессенджеры, системы видеоконференцсвязи;
СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений);
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг;
СП.13.4 Почтовый фишинг;
СП.13.5 Рассылка SMS или сообщений в мессенджерах","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
АВЗ.1.2,"Установка, конфигурирование и управление средствами антивирусной защиты ",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,"СП.4.13 Внедрение вредоносного программного обеспечения с помощью файлового архива;
СП.7.2 Подключение устройства перехвата в разрыв канала передачи данных;
СП.7.3 Атаки на уровне каналов и сети, приводящие к изменению маршрутов;
СП.7.4 Перенаправление трафика;
СП.7.7 Зеркалирование трафика","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.11 Угроза несанкционированного массового сбора информации"
АВЗ.1.3,"Предоставление доступа средствам антивирусной защиты к информационной системе, которые должны быть подвергнуты проверке средством антивирусной защиты ",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,Данные уточняются,Данные уточняются
АВЗ.1.4,"Проведение периодических проверок компонентов информационной системы (автоматизированных рабочих мест, серверов, других средств вычислительной техники) на наличие вредоносных компьютерных программ (вирусов)",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,"СП.14.5 Остановка сервиса;
СП.14.6 Перезагрузка или выключение сервера;
СП.14.7 Блокировка пользователей;
СП.14.8 Множественный запуск программного обеспечения;
СП.12.6 Снятие информации выводимой на печать;
СП.21.3 Искажение данных;
СП.21.1 Повреждение загрузочной области;
СП.21.2 Затирание данных (wiping);
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.5 Считывание нажатий виртуальной клавиатуры;
СП.12.7 Снятие звука с микрофона;
СП.16.1 Выход за пределы виртуальной инфраструктуры;
СП.16.2 Нарушение изоляции процессов;
СП.16.3 Нарушение сетевой изоляции;
СП.16.4 Выход за пределы контейнера;
СП.16.5 Выход за пределы замкнутой программной среды;
СП.19.5 Модификация операционной системы при помощи руткитов (пользовательского и уровня ядра);
СП.19.4 Изменение (подмена, удаление) системных файлов операционной системы;
СП.19.2 Модификация операционной системы из гипервизора;
СП.19.3 Модификация операционной системы в момент загрузки операционной системы, используя руткиты;
СП.15.1 Шифрование данных с применением вирусов-шифровальщиков","УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.8 Угроза нарушения функционирования (работоспособности)"
АВЗ.1.5,"Проверка в масштабе времени, близком к реальному, объектов (файлов) из внешних источников (съемных машинных носителей информации, сетевых подключений, в том числе к сетям общего пользования, и других внешних источников) при загрузке, открытии или исполнении таких файлов",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,"СП.14.5 Остановка сервиса;
СП.14.6 Перезагрузка или выключение сервера;
СП.14.7 Блокировка пользователей;
СП.14.8 Множественный запуск программного обеспечения;
СП.12.6 Снятие информации выводимой на печать;
СП.3.2 Эксплуатация недостатков, децентрализованного и неконтролируемого подключения к сети Интернет;
СП.21.3 Искажение данных;
СП.21.1 Повреждение загрузочной области;
СП.21.2 Затирание данных (wiping);
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.5 Считывание нажатий виртуальной клавиатуры;
СП.12.7 Снятие звука с микрофона;
СП.16.1 Выход за пределы виртуальной инфраструктуры;
СП.16.2 Нарушение изоляции процессов;
СП.16.3 Нарушение сетевой изоляции;
СП.16.4 Выход за пределы контейнера;
СП.16.5 Выход за пределы замкнутой программной среды;
СП.19.5 Модификация операционной системы при помощи руткитов (пользовательского и уровня ядра);
СП.19.4 Изменение (подмена, удаление) системных файлов операционной системы;
СП.19.2 Модификация операционной системы из гипервизора;
СП.19.3 Модификация операционной системы в момент загрузки операционной системы, используя руткиты;
СП.4.5 Внедрение вредоносного программного обеспечения через средства удаленного управления/доступа;
СП.15.1 Шифрование данных с применением вирусов-шифровальщиков;
СП.4.6 Внедрение вредоносного программного обеспечения через средства установки/обновления программного обеспечения;
СП.4.10 Внедрение вредоносного программного обеспечения через скомпрометированные обновления программного обеспечения или операционной системы;
СП.4.11 Внедрение вредоносного ПО через компрометацию инфраструктуры подрядчика, среды сборки разработчика (подрядчика) и (или) службы технической поддержки;
СП.4.12 Внедрение вредоносного ПО через установку приложений из магазина приложений;
СП.26.5 Внедрение вредоносного ПО через компрометацию инфраструктуры системы хранения данных;
СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации;
СП.4.4 Внедрение вредоносного программного обеспечения через сетевое взаимодействие;
СП.4.13 Внедрение вредоносного программного обеспечения с помощью файлового архива;
СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту;
СП.4.3 Внедрение вредоносного программного обеспечения через посещение сайтов;
СП.4.7 Внедрение вредоносного программного обеспечения через формы приема файлов ;
СП.4.8 Внедрение вредоносного программного обеспечения через файлообменные ресурсы (FTP, SMB и т.п.);
СП.4.9 Внедрение вредоносного программного обеспечения через мессенджеры, системы видеоконференцсвязи;
СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений);
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг;
СП.13.4 Почтовый фишинг;
СП.13.5 Рассылка SMS или сообщений в мессенджерах","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
АВЗ.1.6,"Оповещение администраторов безопасности в масштабе времени, близком к реальному, об обнаружении вредоносных компьютерных программ (вирусов)",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,"СП.14.5 Остановка сервиса;
СП.14.6 Перезагрузка или выключение сервера;
СП.14.7 Блокировка пользователей;
СП.14.8 Множественный запуск программного обеспечения;
СП.12.6 Снятие информации выводимой на печать;
СП.21.3 Искажение данных;
СП.21.1 Повреждение загрузочной области;
СП.21.2 Затирание данных (wiping);
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.5 Считывание нажатий виртуальной клавиатуры;
СП.12.7 Снятие звука с микрофона;
СП.16.1 Выход за пределы виртуальной инфраструктуры;
СП.16.2 Нарушение изоляции процессов;
СП.16.3 Нарушение сетевой изоляции;
СП.16.4 Выход за пределы контейнера;
СП.16.5 Выход за пределы замкнутой программной среды;
СП.19.5 Модификация операционной системы при помощи руткитов (пользовательского и уровня ядра);
СП.19.4 Изменение (подмена, удаление) системных файлов операционной системы;
СП.19.2 Модификация операционной системы из гипервизора;
СП.19.3 Модификация операционной системы в момент загрузки операционной системы, используя руткиты;
СП.15.1 Шифрование данных с применением вирусов-шифровальщиков;
СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений);
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг;
СП.13.4 Почтовый фишинг;
СП.13.5 Рассылка SMS или сообщений в мессенджерах","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
АВЗ.1.7,"Определение и выполнение действий по реагированию на обнаружение в информационной системе объектов, подвергшихся заражению вредоносными компьютерными программами (вирусами) ",АВЗ.1 Реализация антивирусной защиты,АВЗ Антивирусная защита,"СП.14.5 Остановка сервиса;
СП.14.6 Перезагрузка или выключение сервера;
СП.14.7 Блокировка пользователей;
СП.14.8 Множественный запуск программного обеспечения;
СП.12.6 Снятие информации выводимой на печать;
СП.21.3 Искажение данных;
СП.21.1 Повреждение загрузочной области;
СП.21.2 Затирание данных (wiping);
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.5 Считывание нажатий виртуальной клавиатуры;
СП.12.7 Снятие звука с микрофона;
СП.16.1 Выход за пределы виртуальной инфраструктуры;
СП.16.2 Нарушение изоляции процессов;
СП.16.3 Нарушение сетевой изоляции;
СП.16.4 Выход за пределы контейнера;
СП.16.5 Выход за пределы замкнутой программной среды;
СП.19.5 Модификация операционной системы при помощи руткитов (пользовательского и уровня ядра);
СП.19.4 Изменение (подмена, удаление) системных файлов операционной системы;
СП.19.2 Модификация операционной системы из гипервизора;
СП.19.3 Модификация операционной системы в момент загрузки операционной системы, используя руткиты;
СП.15.1 Шифрование данных с применением вирусов-шифровальщиков;
СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений);
СП.13.2 Атаки через социальные сети;
СП.13.3 Веб-фишинг;
СП.13.4 Почтовый фишинг;
СП.13.5 Рассылка SMS или сообщений в мессенджерах","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
АВЗ.2.1,"Применение средств антивирусной защиты на прокси-серверах, почтовых шлюза, почтовых серверах и иных точках доступа в информационную систему, подверженных внедрению (заражению) вредоносными компьютерными программами (вирусами) через съемные машинные носители информации или сетевые подключения, в том числе к сетям общего пользования (вложения электронной почты, веб- и другие сетевые сервисы)",АВЗ.2 Антивирусная защита электронной почты и иных сервисов,АВЗ Антивирусная защита,"СП.14.5 Остановка сервиса;
СП.14.6 Перезагрузка или выключение сервера;
СП.14.7 Блокировка пользователей;
СП.14.8 Множественный запуск программного обеспечения;
СП.12.6 Снятие информации выводимой на печать;
СП.21.3 Искажение данных;
СП.21.1 Повреждение загрузочной области;
СП.21.2 Затирание данных (wiping);
СП.12.1 Считывание нажатий клавиш на клавиатуре;
СП.12.2 Снятие видео с экрана;
СП.12.3 Снятие изображение с монитора;
СП.12.4 Снятие изображения с веб-камеры;
СП.12.5 Считывание нажатий виртуальной клавиатуры;
СП.12.7 Снятие звука с микрофона;
СП.16.1 Выход за пределы виртуальной инфраструктуры;
СП.16.2 Нарушение изоляции процессов;
СП.16.3 Нарушение сетевой изоляции;
СП.16.4 Выход за пределы контейнера;
СП.16.5 Выход за пределы замкнутой программной среды;
СП.19.5 Модификация операционной системы при помощи руткитов (пользовательского и уровня ядра);
СП.19.4 Изменение (подмена, удаление) системных файлов операционной системы;
СП.19.2 Модификация операционной системы из гипервизора;
СП.19.3 Модификация операционной системы в момент загрузки операционной системы, используя руткиты;
СП.4.5 Внедрение вредоносного программного обеспечения через средства удаленного управления/доступа;
СП.15.1 Шифрование данных с применением вирусов-шифровальщиков;
СП.4.6 Внедрение вредоносного программного обеспечения через средства установки/обновления программного обеспечения;
СП.4.10 Внедрение вредоносного программного обеспечения через скомпрометированные обновления программного обеспечения или операционной системы;
СП.4.11 Внедрение вредоносного ПО через компрометацию инфраструктуры подрядчика, среды сборки разработчика (подрядчика) и (или) службы технической поддержки;
СП.4.12 Внедрение вредоносного ПО через установку приложений из магазина приложений;
СП.26.5 Внедрение вредоносного ПО через компрометацию инфраструктуры системы хранения данных;
СП.4.2 Внедрение вредоносного программного обеспечения через съемные носители информации;
СП.4.4 Внедрение вредоносного программного обеспечения через сетевое взаимодействие;
СП.4.1 Внедрение вредоносного программного обеспечения через электронную почту;
СП.4.3 Внедрение вредоносного программного обеспечения через посещение сайтов;
СП.4.7 Внедрение вредоносного программного обеспечения через формы приема файлов ;
СП.4.8 Внедрение вредоносного программного обеспечения через файлообменные ресурсы (FTP, SMB и т.п.);
СП.4.9 Внедрение вредоносного программного обеспечения через мессенджеры, системы видеоконференцсвязи;
СП.13.1 Целенаправленная рассылка через рассылку рекламных писем (спам-сообщений);
СП.13.4 Почтовый фишинг;
СП.13.5 Рассылка SMS или сообщений в мессенджерах","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника;
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации"
АВЗ.2.2,Обеспечение антивирусной поведенческой (динамической) проверки в изолированной среде (песочнице),АВЗ.2 Антивирусная защита электронной почты и иных сервисов,АВЗ Антивирусная защита,Данные уточняются,Данные уточняются
