Идентификатор,Наименование,Описание,Ущерб
Н.1,Угроза жизни или здоровью.,Данные уточняются,Ущерб физическому лицу
Н.2,Нарушение неприкосновенности частной жизни.,Данные уточняются,Ущерб физическому лицу
Н.3,"Нарушение личной, семейной тайны, утрата чести и доброго имени.",Данные уточняются,Ущерб физическому лицу
Н.4,"Нарушение тайны переписки, телефонных переговоров, иных сообщений.",Данные уточняются,Ущерб физическому лицу
Н.5,"Нарушение иных прав и свобод гражданина, закрепленные в Конституции Российской Федерации и федеральных законах.",Данные уточняются,Ущерб физическому лицу
Н.6,"Финансовый, иной материальный ущерб физического лица.",Данные уточняются,Ущерб физическому лицу
Н.7,Нарушение конфиденциальности (утечка) персональных данных.,Данные уточняются,Ущерб физическому лицу
Н.8,Разглашение персональных данных граждан.,Данные уточняются,Ущерб физическому лицу
Н.9,Нарушение законодательства Российской Федерации.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.10,Потеря (хищение) денежных средств.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.11,Недополучение ожидаемой (прогнозируемой) прибыли.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.12,Необходимость дополнительных (незапланированных) затрат на выплаты штрафов (неустоек) или компенсаций.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.13,"Необходимость дополнительных (незапланированных) затрат на закупку товаров, работ или услуг (в том числе закупка программного обеспечения, технических средств, вышедших из строя, замена, настройка, ремонт указанных средств).",Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.14,Нарушение штатного режима функционирования автоматизированной системы управления и управляемого объекта и/или процесса.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.15,Срыв запланированной сделки с партнером.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.16,Необходимость дополнительных (незапланированных) затрат на восстановление деятельности.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.17,"Потеря клиентов, поставщиков.",Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.18,Потеря конкурентного преимущества.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.19,"Невозможность заключения договоров, соглашений.",Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.20,Нарушение деловой репутации.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.21,Дискредитация работников.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.22,Утрата доверия.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.23,Причинение имущественного ущерба.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.24,Неспособность выполнения договорных обязательств.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.25,Невозможность решения задач (реализации функций) или снижение эффективности решения задач (реализации функций).,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.26,Простой информационной системы или сети.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.27,Публикация недостоверной информации на веб-ресурсах организации.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.28,Использование веб-ресурсов для распространения и управления вредоносным программным обеспечением.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.29,Рассылка информационных сообщений с использованием вычислительных мощностей оператора и (или) от его имени.,Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
Н.30,"Утечка конфиденциальной информации (коммерческой тайны, секретов производства (ноу-хау) и др.).",Данные уточняются,"Риски юридическому лицу, индивидуальному предпринимателю, связанный с хозяйственной деятельностью"
