Идентификатор,Наименование,Описание
О.1,Автоматизированное рабочее место,"Комплекс вычислительной техники и программного обеспечения, предназначенный для автоматизации определенного вида деятельности (например, персональные компьютеры, ноутбуки)"
О.2,Сервер,"Совокупность средств вычислительной техники и программных средств, предназначенная для управления, хранения, представления информации в локальной вычислительной сети для рабочих мест и других сетевых устройств"
О.3,Периферийное оборудование,"Устройства, подключаемые к автоматизированным рабочим местам, серверам или мобильным устройствам"
О.4,Устройство хранения данных,"Носитель информации, предназначенный для записи и хранения данных"
О.5,Устройство интернета-вещей,"Программно-техническое средство, использующее датчики и API-интерфейсы для связи и обмена данными в сети Интернет"
О.6,Активное сетевое оборудование,"Оборудование, содержащее электронные схемы, получающее питание от электрической сети или других источников питания и выполняющее функции преобразования, усиления и передачи сигналов,  а также обрабатывающее техническую информацию, перенаправляя и распределяя потоки в соответствии с встроенными алгоритмами.
К активному сетевому оборудованию относятся: маршрутизаторы, коммутаторы,  медиаконвертеры, трансиверы, мосты, шлюзы, ретрансляторы, сетевые адаптеры и проч."
О.7,Обеспечивающие системы,"Система, которая служит дополнением к рассматриваемой системе на протяжении стадий ее жизненного цикла, но необязательно вносит непосредственный вклад в ее функционирование"
О.8,"Телефония (VoIP, GSM)",Программно-аппаратные средства для обеспечения коммуникации посредством передачи голосовых и видеосообщений абонентам
О.9,Средства защиты информации,"Программное или программно-техническое средство, предназначенное для предотвращения или существенного затруднения несанкционированного доступа к информации"
О.10,Мобильное устройство,"Мобильный программно-технический комплекс, предназначенный для автоматизации определенного вида деятельности (например, планшетные компьютеры, смартфоны)"
О.11,"Информация (данные), содержащаяся в системах и сетях","Сведения (сообщения, данные) независимо от формы их представления"
О.12,Физические линии связи,"Физическая среда, по которой передаются электрические информационные сигналы, аппаратура передачи данных и промежуточная аппаратура"
