Идентификатор,Наименование,Тип компонента
К.1.1,Микропрограммное обеспечение,К.1 Программное обеспечение
К.1.2,Системное программное обеспечение (ПО),К.1 Программное обеспечение
К.1.3,Сервисное ПО,К.1 Программное обеспечение
К.1.4,Инструментальное ПО,К.1 Программное обеспечение
К.1.5,Прикладное ПО,К.1 Программное обеспечение
К.1.6,Программное средство защиты информации,К.1 Программное обеспечение
К.1.7,Веб-приложение,К.1 Программное обеспечение
К.2.1,Периферийное оборудование,К.2 Программно-аппаратные средства
К.2.2,Интерфейсы ввода/вывода,К.2 Программно-аппаратные средства
К.2.3,Устройство хранения данных,К.2 Программно-аппаратные средства
К.2.4,Программно-аппаратное средство защиты информации,К.2 Программно-аппаратные средства
К.2.5,Интерфейсы сервисного обслуживания устройства,К.2 Программно-аппаратные средства
К.3.1,Канал передачи данных,К.3 Сетевые компоненты
К.3.2,Протокол передачи данных,К.3 Сетевые компоненты
К.4.1,Привилегированные пользователи,К.4 Пользователи
К.4.2,Непривилегированные пользователи,К.4 Пользователи
