Идентификатор,Наименование
АВЗ,Антивирусная защита
АУД,Аудит безопасности
ДНС,Обеспечение действий в нештатных ситуациях
ЗИС,Защита информационной (автоматизированной) системы и ее компонентов
ЗНИ,Защита машинных носителей информации
ЗТС,Защита технических средств и систем
ИАФ,Идентификация и аутентификация
ИНЦ,Реагирование на компьютерные инциденты
ИПО,Информирование и обучение персонала
ОДТ,Обеспечение доступности
ОПО,Управление обновлениями программного обеспечения
ОПС,Ограничение программной среды
ОЦЛ,Обеспечение целостности
ПЛН,Планирование мероприятий по обеспечению безопасности
СОВ,Предотвращение вторжений (компьютерных атак)
УКФ,Управление конфигурацией
УПД,Управление доступом
