Идентификатор,Наименование,Группа мер
АВЗ.0,Регламентация правил и процедур антивирусной защиты,АВЗ Антивирусная защита
АВЗ.1,Реализация антивирусной защиты,АВЗ Антивирусная защита
АВЗ.2,Антивирусная защита электронной почты и иных сервисов,АВЗ Антивирусная защита
АВЗ.3,"Контроль использования архивных, исполняемых и зашифрованных файлов",АВЗ Антивирусная защита
АВЗ.4,Обновление базы данных признаков вредоносных компьютерных программ (вирусов),АВЗ Антивирусная защита
АВЗ.5,Использование средств антивирусной защиты различных производителей,АВЗ Антивирусная защита
АУД.0,Регламентация правил и процедур аудита безопасности,АУД Аудит безопасности
АУД.1,Инвентаризация информационных ресурсов,АУД Аудит безопасности
АУД.2,Анализ уязвимостей и их устранение,АУД Аудит безопасности
АУД.3,Генерирование временных меток и (или) синхронизация системного времени,АУД Аудит безопасности
АУД.4,Регистрация событий безопасности,АУД Аудит безопасности
АУД.5,Контроль и анализ сетевого трафика,АУД Аудит безопасности
АУД.6,Защита информации о событиях безопасности,АУД Аудит безопасности
АУД.7,Мониторинг безопасности,АУД Аудит безопасности
АУД.8,Реагирование на сбои при регистрации событий безопасности,АУД Аудит безопасности
АУД.9,Анализ действий отдельных пользователей,АУД Аудит безопасности
АУД.10,Проведение внутренних аудитов,АУД Аудит безопасности
АУД.11,Проведение внешних аудитов,АУД Аудит безопасности
ДНС.0,Регламентация правил и процедур обеспечения действий в нештатных ситуациях,ДНС Обеспечение действий в нештатных ситуациях
ДНС.1,Разработка плана действий в нештатных ситуациях,ДНС Обеспечение действий в нештатных ситуациях
ДНС.2,Обучение и отработка действий персонала в нештатных ситуациях,ДНС Обеспечение действий в нештатных ситуациях
ДНС.3,Создание альтернативных мест хранения и обработки информации на случай возникновения нештатных ситуаций,ДНС Обеспечение действий в нештатных ситуациях
ДНС.4,"Резервирование программного обеспечения, технических средств, каналов связи на случай возникновения нештатных ситуаций",ДНС Обеспечение действий в нештатных ситуациях
ДНС.5,Обеспечение возможности восстановления информационной (автоматизированной) системы в случае возникновения нештатных ситуаций,ДНС Обеспечение действий в нештатных ситуациях
ДНС.6,Анализ возникших нештатных ситуаций и принятие мер по недопущению их повторного возникновения,ДНС Обеспечение действий в нештатных ситуациях
ЗИС.0,Регламентация правил и процедур защиты информационной (автоматизированной) системы и ее компонентов,ЗИС Защита информационной (автоматизированной) системы и ее компонентов
ЗИС.1,Разделение функций по управлению (администрированию) информационной (автоматизированной) системой с иными функциями,ЗИС Защита информационной (автоматизированной) системы и ее компонентов
ЗИС.2,Защита периметра информационной (автоматизированной) системы,ЗИС Защита информационной (автоматизированной) системы и ее компонентов
ЗИС.3,Эшелонированная защита информационной (автоматизированной) системы,ЗИС Защита информационной (автоматизированной) системы и ее компонентов
ЗИС.4,Сегментирование информационной (автоматизированной) системы,ЗИС Защита информационной (автоматизированной) системы и ее компонентов
ЗИС.5,Организация демилитаризованной зоны,ЗИС Защита информационной (автоматизированной) системы и ее компонентов
