Идентификатор,Наименование,Н.1,Н.2,Н.3,Н.4,Н.5,Н.6,Н.7,Н.8,Н.9,Н.10,Н.11,Н.12,Н.13,Н.14,Н.15,Н.16,Н.17,Н.18,Н.19,Н.20,Н.21,Н.22,Н.23,Н.24,Н.25,Н.26,Н.27,Н.28,Н.29,Н.30,Н.31,Н.32,Н.33,Н.34,Н.35,Н.36,Н.37,Н.38,Н.39,Н.40,Н.41,Н.42,Н.43,Н.44,Н.45,Н.46,Н.47,Н.48,Н.49,Н.50,Н.51,Н.52
УБИ.1,Угроза утечки информации,,+,+,+,,+,+,+,+,+,+,+,,,+,,+,+,,+,+,+,,,,,,,,+,,,,,,,,+,,,,+,,,,+,+,+,,,+,
УБИ.2,Угроза несанкционированного доступа,,+,+,+,,+,+,+,+,+,+,+,,,+,,+,+,,+,+,+,,,,,,,,+,,,,,,,,+,,,,+,,,,+,+,+,,,+,
УБИ.3,Угроза несанкционированной модификации (искажения),+,+,+,,+,+,,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,,+
УБИ.4,Угроза несанкционированной подмены,+,+,+,+,+,+,+,,+,+,+,+,+,+,+,+,+,+,,+,+,+,+,,,,+,+,+,+,+,,,,,,,,,+,+,+,+,+,,+,+,+,+,+,,
УБИ.5,Угроза удаления информационных ресурсов,,,,,,+,,,+,+,+,+,+,+,+,+,+,+,+,+,,+,+,+,+,+,,,,,,+,+,+,+,+,+,+,+,+,+,+,,+,+,+,+,,,,,+
УБИ.6,Угроза отказа в обслуживании,+,,,,,+,,,+,,+,+,+,+,+,+,+,+,+,+,,+,+,+,+,+,,,,,+,+,+,+,+,+,+,+,,+,+,+,,+,+,+,+,,,,,+
УБИ.7,Угроза ненадлежащего (нецелевого) использования,,,,,,+,,,+,,+,,,+,,,,,,,,,+,+,+,,,,,,,+,+,+,+,+,,,,,,+,,+,,+,,,+,+,,
УБИ.8,Угроза нарушения функционирования (работоспособности),+,,,,,+,,,+,,+,,+,+,+,+,+,+,+,+,,+,+,+,+,+,,,,,+,+,+,+,+,+,+,+,+,+,+,+,,+,+,+,+,,,,,+
УБИ.9,Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника,,,,,,,,,,,,,,+,,+,,,,,,,,,,+,+,+,,,,,,,+,,,,,,,,+,+,,,,,,,,
УБИ.10,Угроза распространения противоправной информации,,,,,,+,,,+,,,+,,,,,+,+,,+,+,+,,,,,+,+,+,,,,,,,,,,,,,+,+,,+,+,+,+,,+,,
УБИ.11,Угроза несанкционированного массового сбора информации,,+,,,,,+,+,,,+,,,,,,+,+,,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,+,,+,,,+,
