Идентификатор,Наименование
СП.1,Эксплуатация уязвимостей
СП.2,Использование недостатков конфигурации
СП.3,Использование недостатков архитектуры
СП.4,Внедрение вредоносного программного обеспечения
СП.5,Внедрение программных и аппаратных закладок
СП.6,Использование недекларированных возможностей
СП.7,Прослушивание (захват) сетевого трафика
СП.8,Сканирование сетевой инфраструктуры
СП.9,Изучение информации о системе
СП.10,"Атака типа ""человек посередине"""
СП.11,Применение скрытых каналов
СП.12,Считывание вводимой и выводимой информации 
СП.13,Реализация социальной инженерии 
СП.14,"Атака типа ""отказ в обслуживании"""
СП.15,Шифрование данных
СП.16,Нарушение изоляции
СП.17,Подбор (восстановление) аутентификационной информации 
СП.18,Использование недостатков механизмов разграничения доступа
СП.19,"Модификация ОС (подмена системных файлов, внедрение вредоносного кода в системные процессы и ядро ОС)"
СП.20,Автоматический сбор человеко-читаемых данных
СП.21,Повреждение данных
СП.22,Атака на Веб-приложение
СП.23,Модификация (подмена) прошивки (микропрограммы)
СП.24,Физическое воздействие
СП.25,Атаки на системы с распределенным реестром
СП.26,Воздействие через системы хранения и резервирования данных
