Идентификатор,Наименование,УБИ.1,УБИ.2,УБИ.3,УБИ.4,УБИ.5,УБИ.6,УБИ.7,УБИ.8,УБИ.9,УБИ.10,УБИ.11
О.1,Автоматизированное рабочее место,+,+,+,+,+,+,+,+,,+,+
О.2,Сервер,+,+,+,+,+,+,+,+,,+,+
О.3,Периферийное оборудование,+,+,+,+,,+,,+,,+,+
О.4,Устройство хранения данных,+,+,+,+,+,+,+,+,,,
О.5,Устройство интернета-вещей,+,+,+,+,,+,+,+,,,+
О.6,Активное сетевое оборудование,+,+,+,+,+,+,+,+,,,+
О.7,Обеспечивающие системы,,,,,,,,+,,,
О.8,"Телефония (VoIP, GSM)",+,+,+,+,+,+,+,+,,+,+
О.9,Средства защиты информации,+,+,+,+,+,+,,+,,,+
О.10,Мобильное устройство,+,+,+,+,+,+,+,+,,+,+
О.11,"Информация (данные), содержащаяся в системах и сетях",,,,,,,,,+,,
О.12,Физические линии связи,+,+,+,+,+,+,,+,,,
